Date,Open,High,Low,Close,Volume
12/31/2024,"19.99","20.40","19.88","20.05","49,846,660"
12/30/2024,"20.01","20.12","19.73","19.82","59,608,129"
12/27/2024,"20.21","20.61","20.09","20.30","48,260,832"
12/26/2024,"20.23","20.67","20.08","20.44","39,950,379"
12/24/2024,"20.22","20.40","19.96","20.40","29,884,029"
12/23/2024,"19.58","20.23","19.52","20.20","57,988,379"
12/20/2024,"18.97","19.76","18.90","19.52","108,453,695"
12/19/2024,"19.53","19.69","19.03","19.06","69,117,805"
12/18/2024,"20.48","20.58","19.21","19.30","86,041,242"
12/17/2024,"20.64","20.77","20.29","20.44","51,767,152"
12/16/2024,"20.17","21.10","20.00","20.83","73,832,891"
12/13/2024,"20.60","20.80","20.25","20.34","55,104,078"
12/12/2024,"20.02","20.90","19.92","20.78","77,695,008"
12/11/2024,"20.14","20.25","19.87","20.12","75,209,344"
12/10/2024,"20.83","20.86","19.96","20.16","90,004,828"
12/09/2024,"20.92","21.06","20.73","20.81","68,818,227"
12/06/2024,"20.95","21.05","20.66","20.92","78,539,125"
12/05/2024,"22.04","22.19","20.66","20.80","167,993,500"
12/04/2024,"22.53","22.54","21.81","21.96","104,649,000"
12/03/2024,"23.68","23.75","22.44","22.47","138,160,500"
12/02/2024,"24.84","25.48","23.44","23.93","150,497,906"
11/29/2024,"23.72","24.28","23.60","24.05","36,616,754"
11/27/2024,"23.83","23.93","23.06","23.65","53,992,320"
11/26/2024,"24.95","24.99","23.81","24.05","69,613,562"
11/25/2024,"25.04","25.57","24.76","24.87","91,128,391"
11/22/2024,"24.35","24.68","24.14","24.50","36,784,719"
11/21/2024,"24.08","24.77","23.83","24.44","58,928,406"
11/20/2024,"24.07","24.21","23.55","24.01","50,191,512"
11/19/2024,"24.50","24.54","24.10","24.20","61,190,859"
11/18/2024,"24.33","25.02","24.16","24.84","59,667,328"
11/15/2024,"24.81","24.82","24.23","24.35","55,104,879"
11/14/2024,"25.12","25.61","24.93","25.03","49,252,121"
11/13/2024,"24.06","25.14","24.02","24.92","58,201,969"
11/12/2024,"24.66","24.96","23.89","24.16","62,539,727"
11/11/2024,"25.96","26.29","24.83","25.05","80,185,320"
11/08/2024,"26.00","26.43","25.83","26.20","76,427,984"
11/07/2024,"25.43","26.38","25.19","26.23","101,489,297"
11/06/2024,"24.30","25.12","24.05","25.05","116,760,492"
11/05/2024,"22.58","23.58","22.40","23.32","59,153,328"
11/04/2024,"22.96","23.00","22.00","22.52","84,616,305"
11/01/2024,"23.00","23.58","21.91","23.20","173,471,109"
10/31/2024,"22.15","22.25","21.47","21.52","112,485,508"
10/30/2024,"22.42","22.93","22.26","22.30","50,941,230"
10/29/2024,"22.87","23.14","22.41","22.90","83,422,242"
10/28/2024,"22.67","23.27","22.56","22.92","41,914,969"
10/25/2024,"22.42","23.34","22.41","22.68","67,502,977"
10/24/2024,"22.09","22.37","21.97","22.34","40,554,422"
10/23/2024,"22.30","22.43","21.58","21.98","45,799,047"
10/22/2024,"22.73","22.82","22.17","22.40","50,160,379"
10/21/2024,"22.61","22.88","22.25","22.84","39,726,992"
10/18/2024,"22.61","22.82","22.50","22.77","39,971,699"
10/17/2024,"22.72","22.82","22.40","22.44","43,807,578"
10/16/2024,"22.38","22.54","21.74","22.31","62,151,770"
10/15/2024,"23.41","23.72","22.47","22.66","68,900,562"
10/14/2024,"23.58","23.77","23.27","23.44","35,403,648"
10/11/2024,"23.05","23.82","22.98","23.56","43,585,246"
10/10/2024,"23.19","23.53","22.96","23.22","44,874,578"
10/09/2024,"23.25","23.48","23.06","23.46","44,759,020"
10/08/2024,"22.25","23.42","22.05","23.32","58,650,461"
10/07/2024,"22.40","22.65","22.02","22.38","54,928,672"
10/04/2024,"22.70","22.91","22.30","22.59","49,966,930"
10/03/2024,"22.14","22.73","21.65","22.26","49,565,930"
10/02/2024,"22.67","23.07","22.35","22.39","59,033,898"
10/01/2024,"23.46","23.72","22.26","22.69","86,344,359"
09/30/2024,"23.74","23.95","23.09","23.46","66,460,234"
09/27/2024,"24.16","24.66","23.70","23.91","85,883,281"
09/26/2024,"24.28","24.42","23.25","23.92","95,416,945"
09/25/2024,"22.80","24.06","22.73","23.54","117,013,398"
09/24/2024,"22.53","23.11","22.29","22.81","113,082,492"
09/23/2024,"22.43","22.82","22.03","22.56","184,439,109"
09/20/2024,"20.89","23.14","20.35","21.84","260,377,906"
09/19/2024,"21.28","21.69","21.03","21.14","99,829,172"
09/18/2024,"21.36","21.74","20.72","20.77","118,727,906"
09/17/2024,"21.71","22.58","21.24","21.47","196,249,797"
09/16/2024,"20.03","21.07","19.76","20.91","149,336,984"
09/13/2024,"19.49","19.80","19.49","19.66","44,236,273"
09/12/2024,"19.43","19.54","19.04","19.36","51,602,922"
09/11/2024,"19.01","19.69","18.52","19.64","71,403,133"
09/10/2024,"19.03","19.11","18.51","18.98","55,621,273"
09/09/2024,"19.00","19.54","18.95","19.07","64,244,129"
09/06/2024,"19.44","19.49","18.64","18.89","92,686,461"
09/05/2024,"19.28","19.90","19.24","19.40","65,388,793"
09/04/2024,"19.76","20.05","19.28","19.43","85,871,891"
09/03/2024,"21.54","21.69","19.99","20.10","115,174,000"
08/30/2024,"21.25","22.12","21.00","22.04","177,785,406"
08/29/2024,"19.76","20.60","19.75","20.13","64,529,660"
08/28/2024,"19.98","20.11","19.51","19.61","50,144,887"
08/27/2024,"20.13","20.26","19.84","20.07","43,862,020"
08/26/2024,"20.53","20.56","19.95","20.13","58,534,793"
08/23/2024,"20.32","20.93","20.26","20.54","73,398,430"
08/22/2024,"21.39","21.40","20.04","20.10","81,444,672"
08/21/2024,"21.07","21.44","21.07","21.41","57,028,871"
08/20/2024,"21.21","21.23","20.82","20.99","84,161,273"
08/19/2024,"20.89","21.86","20.84","21.52","65,956,297"
08/16/2024,"20.53","20.90","20.41","20.87","48,582,660"
08/15/2024,"20.32","21.06","20.23","20.69","84,814,883"
08/14/2024,"20.49","20.50","19.79","19.92","56,758,180"
08/13/2024,"19.48","20.48","19.47","20.47","77,511,352"
08/12/2024,"19.87","19.97","19.00","19.36","54,677,578"
08/09/2024,"20.08","20.15","19.50","19.71","76,394,555"
08/08/2024,"19.10","20.55","18.84","20.49","96,836,812"
08/07/2024,"19.92","20.25","18.95","18.99","97,972,289"
08/06/2024,"20.32","20.63","19.75","19.83","106,670,398"
08/05/2024,"20.20","20.39","19.29","20.11","147,385,703"
08/02/2024,"21.94","21.98","20.42","21.48","300,895,906"
08/01/2024,"30.43","30.71","28.89","29.05","107,672,492"
07/31/2024,"30.54","30.87","30.28","30.74","56,110,609"
07/30/2024,"30.85","30.91","30.01","30.13","48,256,633"
07/29/2024,"31.42","31.47","30.79","30.83","32,342,199"
07/26/2024,"31.43","31.56","31.02","31.35","38,352,539"
07/25/2024,"31.37","31.99","30.95","31.10","49,774,031"
07/24/2024,"32.54","32.80","31.66","31.70","62,216,672"
07/23/2024,"32.96","33.23","32.83","32.95","29,466,369"
07/22/2024,"33.28","33.41","32.76","33.37","48,503,754"
07/19/2024,"34.57","34.58","32.85","32.98","69,628,648"
07/18/2024,"34.96","36.30","34.53","34.87","84,188,609"
07/17/2024,"36.08","37.16","34.40","34.46","112,304,203"
07/16/2024,"34.36","34.45","33.84","34.34","28,409,910"
07/15/2024,"34.70","35.23","34.31","34.46","39,847,922"
07/12/2024,"33.77","35.48","33.77","34.49","62,792,648"
07/11/2024,"35.03","35.15","33.31","33.50","55,213,672"
07/10/2024,"34.44","34.97","34.13","34.87","52,256,199"
07/09/2024,"35.02","35.22","33.72","34.59","97,788,844"
07/08/2024,"33.03","34.09","32.82","33.99","82,315,938"
07/05/2024,"31.40","32.34","31.31","32.02","45,309,449"
07/03/2024,"31.12","31.34","30.91","31.23","24,065,670"
07/02/2024,"30.86","31.31","30.59","31.07","35,999,281"
07/01/2024,"30.91","31.02","30.61","30.84","32,401,760"
06/28/2024,"30.75","31.31","30.72","30.97","41,467,680"
06/27/2024,"30.42","30.66","30.29","30.59","30,184,279"
06/26/2024,"30.64","30.68","30.27","30.54","30,742,980"
06/25/2024,"30.70","30.83","30.29","30.74","29,498,580"
06/24/2024,"31.14","31.42","30.53","30.57","40,611,793"
06/21/2024,"30.85","31.36","30.67","31.09","92,549,023"
06/20/2024,"30.56","31.11","30.45","30.62","43,826,320"
